title,director,cast,country,release_year,rating,duration,genre,type,imdb_score
Ek Ladki Ko Dekha Toh Aisa Laga,Shelly Chopra Dhar,"Anil Kapoor, Sonam Kapoor, Rajkummar Rao, Juhi Chawla, Abhishek Duhan, Regina Cassandra, Madhumalti Kapoor, Seema Pahwa, Brijendra Kala, Alka Badola Kaushal",India,2019,TV-14,120 min,"Comedies, Dramas, International Movies",Movie,5.6
Kevin Hart: Irresponsible,Leslie Small,Kevin Hart,United States,2019,TV-MA,60 min,Stand-Up Comedy,Movie,6.5
Get Smart,Peter Segal,"Steve Carell, Anne Hathaway, Dwayne Johnson, Alan Arkin, Terence Stamp, Terry Crews, David Koechner, James Caan, Masi Oka, Nate Torrence, Bill Murray",United States,2008,PG-13,110 min,"Action & Adventure, Comedies",Movie,6.5
Love O2O,Tianyu Zhao,"Jing Boran, Angelababy, Yu Bai, Li Qin, Li Xian, Seven Tan, Janice Wu, Jayden Wang, Cheng Yi, Li Jiuxiao",China,2016,TV-14,103 min,"International Movies, Romantic Movies, Sci-Fi & Fantasy",Movie,7.9
Love O2O,Tianyu Zhao,"Jing Boran, Angelababy, Yu Bai, Li Qin, Li Xian, Seven Tan, Janice Wu, Jayden Wang, Cheng Yi, Li Jiuxiao",China,2016,TV-14,103 min,"International Movies, Romantic Movies, Sci-Fi & Fantasy",Movie,6.4
Pinky Memsaab,Shazia Ali Khan,"Hajira Yamin, Kiran Malik, Adnan Jaffar, Sunny Hinduja, Khalid Ahmed, Shamim Hilaly, Hajrah Khan, Ahmed Ali Khan","Pakistan, United Arab Emirates",2018,TV-14,124 min,"Dramas, Independent Movies, International Movies",Movie,6.3
Sherlock Holmes,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Kelly Reilly, James Fox, Hans Matheson, Geraldine James","United States, Germany, United Kingdom",2009,PG-13,128 min,"Action & Adventure, Comedies",Movie,7.6
The Bye Bye Man,Stacy Title,"Douglas Smith, Lucien Laviscount, Cressida Bonas, Michael Trucco, Doug Jones, Carrie-Anne Moss, Faye Dunaway, Jenna Kanell, Erica Tremblay, Cleo King","United States, China",2017,PG-13,96 min,"Horror Movies, Thrillers",Movie,4.3
The Trap,Erik White,"T.I., Mike Epps, Loretta Devine, Queen Latifah, Teyana Taylor, Meagan Tandy, Stephen Bishop, Roland Powell, Joel Rush",United States,2017,TV-MA,91 min,Comedies,Movie,4.3
Trailer Park Boys: The Animated Series,"Norm Hiscock, Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Cory Bowles, Jacob Rolfe, Tyrone Parsons, Sarah Dunsworth, Jeanna Harrison, Marguerite McNeil",Canada,2019,TV-MA,1 Season,TV Comedies,TV Show,7.5
Bayonet,Kyzza Terrazas,"Luis Gerardo Méndez, Brontis Jodorowsky, Joonas Saartamo, Laura Birn, Ilkka Koivula, Ville Virtanen, Raúl Villegas, Miriam Balderas, Ximena Guzmán","Mexico, Finland",2019,TV-MA,102 min,"Dramas, International Movies, Sports Movies",Movie,5.7
Bitter Daisies,Miguel Conde,"María Mera, Toni Salgado, Miquel Insua, Denis Gómez, Lucía Álvarez, Sara Sanz, Jimmy Núñez, Paloma Saavedra, Manuel Cortés, Yelena Molina, Ricardo de Barreiro, Nerea Barros, Santiago Cuquejo, Martina Stetson, Carlos Villarino",Spain,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,7.2
The Highwaymen,John Lee Hancock,"Kevin Costner, Woody Harrelson, Kathy Bates, John Carroll Lynch, Thomas Mann, Kim Dickens, W. Earl Brown, William Sadler",United States,2019,R,132 min,Dramas,Movie,6.9
Nate Bargatze: The Tennessee Kid,Ryan Polito,Nate Bargatze,United States,2019,TV-PG,61 min,Stand-Up Comedy,Movie,7.6
Sei,Raj Babu,"Nakhul, Aanchal Munjal, Nassar, Prakash Raj, Thalaivasal Vijay, Manobala, Jeyan Cherthala, Annadurai Kannadasan",India,2018,TV-14,126 min,"Action & Adventure, Comedies, Dramas",Movie,4.2
Superlopez,Javier Ruiz Caldera,"Dani Rovira, Alexandra Jiménez, Julián López, Maribel Verdú, Pedro Casablanc, Gracia Olayo, Ferran Rañé, Gonzalo de Castro, Mireia Portas",Spain,2018,TV-14,108 min,"Action & Adventure, Comedies, International Movies",Movie,5.4
Mirage,Oriol Paulo,"Adriana Ugarte, Chino Darín, Javier Gutiérrez, Álvaro Morte, Nora Navas, Miquel Fernández, Clara Segura, Mima Riera, Aina Clotet, Albert Pérez, Julio Bohigas-Couto, Belén Rueda",Spain,2018,TV-MA,129 min,"Dramas, International Movies, Sci-Fi & Fantasy",Movie,7.4
The Dirt,Jeff Tremaine,"Douglas Booth, Iwan Rheon, Colson Baker, Daniel Webber, David Costabile, Pete Davidson",United States,2019,TV-MA,108 min,"Comedies, Dramas, Music & Musicals",Movie,6.9
The Amazing Praybeyt Benjamin,Wenn V. Deramas,"Vice Ganda, Bimby Aquino-Yap, Alex Gonzaga, Tom Rodriguez",Philippines,2014,TV-14,105 min,"Action & Adventure, Comedies, International Movies",Movie,4.0
The Super Parental Guardians,Joyce Bernal,"Vice Ganda, Coco Martin, Onyok Pineda, Awra Briguela, Assunta de Rossi, Pepe Herrera, Joem Bascon, Matet De Leon, Kiray Celis, Lassy Marquez, MC Calaquian",Philippines,2016,TV-14,115 min,"Action & Adventure, Comedies, International Movies",Movie,4.4
The Third Party,Jason Paul Laxamana,"Sam Milby, Angel Locsin, Zanjoe Marudo, Cherry Pie Picache, Alma Moreno, Matet De Leon, Al Tantay, Beauty Gonzalez, Katrina Michelle Legaspi",Philippines,2016,TV-MA,118 min,"Comedies, Dramas, International Movies",Movie,6.1
The Unmarried Wife,Maryo J. De los Reyes,"Angelica Panganiban, Dingdong Dantes, Paulo Avelino, Maricar Reyes, Denise Laurel, Dimples Romana, Justin Cuyugan, Mart Escudero, Pamu Pamorada, Lei Andre Navarro, Irma Adlawan",Philippines,2016,TV-MA,130 min,"Dramas, International Movies, Romantic Movies",Movie,5.9
Bombairiya,Pia Sukanya,"Radhika Apte, Siddhant Kapoor, Akshay Oberoi, Adil Hussain, Amit Sial, Ravi Kishan, Ajinkya Deo, Shilpa Shukla","United Arab Emirates, United Kingdom, India",2018,TV-14,108 min,"Comedies, Dramas, International Movies",Movie,4.5
Burn Out,Yann Gozlan,"Olivier Rabourdin, François Civil, Manon Azem, Samuel Jouy, Narcisse Mame, Naël Rabia, Sam Louwyck, Luc Schwarz, Mario Magalhaes, Marc-Antoine Duquenne","France, Belgium",2017,TV-MA,104 min,"Action & Adventure, International Movies",Movie,6.2
Chief Daddy,Niyi Akinmolayan,"Taiwo Obileye, Joke Silva, Falz The Bahd Guy, Dakore Akande, Funke Akindele, Zainab Balogun, Shaffy Bello, Ini Edo, Linda Ihuoma-Suleiman, Mawuli Gavor, Richard Mofe-Damijo, Rachael Oniga, Nkem Owoh, Patience Ozokwor",Nigeria,2018,TV-14,98 min,"Comedies, Dramas, International Movies",Movie,4.7
Edoardo Ferrario: Temi Caldi,Francesco Imperato,Edoardo Ferrario,Italy,2019,TV-MA,65 min,Stand-Up Comedy,Movie,6.5
Girl,Lukas Dhont,"Victor Polster, Arieh Worthalter, Oliver Bodart, Tijmen Govaerts, Katelijne Damen, Valentijn Dhaenens, Magali Elali, Alice de Broqueville, Chris Thys, Angelo Tijssens","Belgium, Netherlands",2018,R,106 min,"Dramas, International Movies, LGBTQ Movies",Movie,7.1
Jeff Dunham: Arguing with Myself,Manny Rodriguez,Jeff Dunham,United States,2006,NR,69 min,Stand-Up Comedy,Movie,8.0
Jeff Dunham: Controlled Chaos,"Michael Simon, Matthew McNeil",Jeff Dunham,United States,2011,TV-MA,97 min,Stand-Up Comedy,Movie,7.4
Jeff Dunham: Minding the Monsters,Manny Rodriguez,Jeff Dunham,United States,2012,TV-MA,80 min,Stand-Up Comedy,Movie,7.0
Jeff Dunham's Very Special Christmas Special,Michael Simon,"Jeff Dunham, Brian Haner",United States,2008,TV-MA,85 min,Stand-Up Comedy,Movie,7.4
Late Life: The Chien-Ming Wang Story,Frank W Chen,Chien-Ming Wang,"United States, Taiwan",2018,TV-14,98 min,"Documentaries, Sports Movies",Movie,7.1
Paskal,Adrian Teh,"Hairul Azreen, Ammar Alfian, Jasmine Suraya, Henley Hii, Hafizul Kamal, Theebaan Govindasamy, Gambit Saifullah, Taufiq Hanafi, Nam Ron, Amerul Affendi, Tiger Chen",Malaysia,2018,TV-14,115 min,"Action & Adventure, Dramas, International Movies",Movie,6.8
A Love Story,Maryo J. De los Reyes,"Maricel Soriano, Aga Muhlach, Angelica Panganiban, Dante Rivero, Chin Chin Gutierrez, Bobby Andrews, TJ Trinidad, Baron Geisler, John Arcilla, Gerald Madrid",Philippines,2007,TV-14,117 min,"Dramas, International Movies, Romantic Movies",Movie,6.4
Barcelona: A Love Untold,Olivia M. Lamasan,"Kathryn Bernardo, Daniel Padilla, Joshua Garcia, Aiko Melendez, Joey Marquez, Ricky Davao, Maria Isabel Lopez, Ana Capri, Cris Villanueva",Philippines,2016,TV-14,132 min,"Dramas, International Movies, Romantic Movies",Movie,6.6
Everything About Her,Joyce Bernal,"Angel Locsin, Xian Lim, Vilma Santos, Michael De Mesa, Nonie Buencamino, Khalil Ramos, Devon Seron, Alexa Ilacad, Nor Domingo, Robert Villar",Philippines,2016,TV-MA,127 min,"Comedies, Dramas, International Movies",Movie,7.2
Finally Found Someone,Theodore Boborol,"John Lloyd Cruz, Sarah Geronimo, Enchong Dee, Christian Bables, Joey Marquez, Yayo Aguila, Tetchie Agbayani, Dennis Padilla, Leo Rialp, Alwyn Uytingco",Philippines,2017,TV-14,125 min,"International Movies, Romantic Movies",Movie,5.7
Seven Sundays,Cathy Garcia-Molina,"Ronaldo Valdez, Aga Muhlach, Dingdong Dantes, Enrique Gil, Cristine Reyes, Donita Rose, Ketchup Eusebio, Kean Cipriano",Philippines,2017,TV-MA,128 min,"Comedies, Dramas, International Movies",Movie,7.6
Triple Frontier,J.C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Pedro Pascal, Garrett Hedlund, Adria Arjona",United States,2019,R,126 min,Action & Adventure,Movie,6.4
Blue Jasmine,Woody Allen,"Cate Blanchett, Sally Hawkins, Alec Baldwin, Louis C.K., Bobby Cannavale, Andrew Dice Clay, Peter Sarsgaard, Michael Stuhlbarg, Tammy Blanchard, Max Casella, Alden Ehrenreich",United States,2013,PG-13,98 min,"Comedies, Dramas, Independent Movies",Movie,7.3
Hajwala 2: Mysterious Mission,"Ibrahim Bin Mohamed, Hasan Aljaberi","Hussain Al Hosani, Ali Almarzouqi, Abdullah Al Yousef, Omar Al Hafidh, Meral Niazi, Yaser Hassan, Fatema Almansoori, Ahmed El Mohammdi",United Arab Emirates,2018,TV-14,116 min,"Action & Adventure, Comedies, International Movies",Movie,3.9
Juanita,Clark Johnson,"Alfre Woodard, Adam Beach, LaTanya Richardson Jackson, Marcus Henderson, Blair Underwood, Ashlie Atkinson, Tsulan Cooper",United States,2019,TV-MA,90 min,"Dramas, Independent Movies, Romantic Movies",Movie,6.0
Lady J,Emmanuel Mouret,"Cécile De France, Edouard Baer, Alice Isaaz, Natalia Dontcheva",France,2019,TV-14,111 min,"Dramas, Independent Movies, International Movies",Movie,6.8
Walk. Ride. Rodeo.,Conor Allyn,"Spencer Locke, Missi Pyle, Sherri Shepherd, Bailey Chase, Alyvia Alyn Lind, Max Ehrich, Corbin Bleu, Kathleen Rose Perkins",United States,2019,TV-PG,100 min,"Children & Family Movies, Dramas",Movie,6.4
Nappily Ever After,Haifaa Al-Mansour,"Sanaa Lathan, Ricky Whittle, Lynn Whitfield, Lyriq Bent, Ernie Hudson",United States,2018,TV-MA,99 min,"Comedies, Dramas, Romantic Movies",Movie,6.4
Sisterakas,Wenn V. Deramas,"Ai-Ai de las Alas, Vice Ganda, Kris Aquino, Xyriel Manabat, Daniel Padilla, Kathryn Bernardo, Tirso Cruz III, Deejay Durano, Gloria Diaz, Jeffrey Quizon",Philippines,2012,TV-14,105 min,"Comedies, International Movies",Movie,5.0
Starting Over Again,Olivia M. Lamasan,"Piolo Pascual, Toni Gonzaga, Iza Calzado",Philippines,2014,TV-14,128 min,"Dramas, International Movies, Romantic Movies",Movie,8.3
That Thing Called Tadhana,Antoinette Jadaone,"Angelica Panganiban, JM de Guzman",Philippines,2015,TV-MA,91 min,"International Movies, Romantic Movies",Movie,7.4
The Love Affair,Nuel Naval,"Richard Gomez, Dawn Zulueta, Bea Alonzo, Tom Rodriguez, Tetchie Agbayani, Al Tantay, Ana Capri, Ina Feleo",Philippines,2015,TV-MA,127 min,"Dramas, International Movies, Romantic Movies",Movie,6.3
The Hard Way,Keoni Waxman,"Michael Jai White, Luke Goss, Randy Couture, Madalina Anea, Grant Campbell, George Remes, Ovidiu Niculescu, Adreea Diac, Michaela Holla, Bogden Farcas",United States,2019,TV-MA,94 min,Action & Adventure,Movie,4.8
Everyday I Love You,Mae Czarina Cruz,"Enrique Gil, Liza Soberano, Gerald Anderson, Aiko Melendez, Carmina Villaroel, Ariel Rivera, Marissa Delgado, Liza Lorena",Philippines,2015,TV-PG,124 min,"International Movies, Romantic Movies",Movie,7.0
No Other Woman,Ruel S. Bayani,"Anne Curtis, Derek Ramsay, Cristine Reyes, Tirso Cruz III, Carmi Martin, John Arcilla, Marlann Flores, Ron Morales, Kat Alano",Philippines,2011,TV-14,103 min,"Dramas, International Movies, Romantic Movies",Movie,5.9
River's Edge,Isao Yukisada,"Fumi Nikaido, Ryo Yoshizawa, Shuhei Uesugi, Sumire, Shiori Doi, Aoi Morikawa",Japan,2018,TV-MA,118 min,"Dramas, International Movies",Movie,6.2
Sarkar,A.R. Murugadoss,"Vijay, Varalakshmi Sarathkumar, Keerthi Suresh, Radha Ravi, Pala Karuppaiah, Yogi Babu",India,2018,TV-MA,162 min,"Action & Adventure, Dramas, International Movies",Movie,7.0
Sarkar,A.R. Murugadoss,"Vijay, Varalakshmi Sarathkumar, Keerthi Suresh, Radha Ravi, Pala Karuppaiah, Yogi Babu",India,2018,TV-MA,162 min,"Action & Adventure, Dramas, International Movies",Movie,7.0
Budapest,Xavier Gens,"Manu Payet, Jonathan Cohen, Monsieur Poulpe, Alice Belaïdi, Alix Poisson","France, Belgium",2018,TV-MA,103 min,"Comedies, International Movies",Movie,5.4
Paranormal Investigation,Franck Phelizon,"Andrei Indreies, Jean-Baptiste Heuet, Jose Atuncar, Pierre Porquet, Claudine Bertin, Gabriella Jordan, Effie Rey, Catalin Morar, Antoine Rodriguez","United States, France",2018,TV-MA,93 min,"Horror Movies, International Movies, Thrillers",Movie,3.7
The Boy Who Harnessed the Wind,Chiwetel Ejiofor,"Maxwell Simba, Chiwetel Ejiofor, Aïssa Maïga, Lily Banda, Lemogang Tsipa, Philbert Falakeza, Joseph Marcell, Noma Dumezweni","United Kingdom, Malawi",2019,TV-14,114 min,"Children & Family Movies, Dramas, Independent Movies",Movie,7.6
Your Son,Miguel Ángel Vivas,"José Coronado, Ana Wagener, Asia Ortega, Pol Monen, Ester Expósito","Spain, France",2018,TV-MA,103 min,"Dramas, International Movies, Thrillers",Movie,6.1
Mine,"Fabio Guaglione, Fabio Resinaro","Clint Dyer, Annabelle Wallis, Tom Cullen, Armie Hammer, Geoff Bell, Inés Píñar Mille, Juliet Aubrey, Luka Peros","United States, Spain, Italy",2016,TV-MA,106 min,"Dramas, International Movies, Thrillers",Movie,7.7
Quién te cantará,Carlos Vermut,"Najwa Nimri, Eva Llorach, Carme Elias, Natalia de Molina, Julián Villagrán, Ignacio Mateos, Lorena Iglesias, Vicenta N'Dongo, Inma Cuevas, Per-Olav Sorensen","Spain, France",2018,TV-MA,125 min,"Dramas, Independent Movies, International Movies",Movie,6.9
A Second Chance,Cathy Garcia-Molina,"John Lloyd Cruz, Bea Alonzo, Dimples Romana, Janus del Prado, James Blanco, Ahron Villena, Beatriz Saw, Shamaine Centenera, Khalil Ramos, Billy Crawford, Al Tantay, Arci Muñoz",Philippines,2015,TV-14,130 min,"Dramas, International Movies, Romantic Movies",Movie,4.7
A Second Chance,Cathy Garcia-Molina,"John Lloyd Cruz, Bea Alonzo, Dimples Romana, Janus del Prado, James Blanco, Ahron Villena, Beatriz Saw, Shamaine Centenera, Khalil Ramos, Billy Crawford, Al Tantay, Arci Muñoz",Philippines,2015,TV-14,130 min,"Dramas, International Movies, Romantic Movies",Movie,8.6
Beauty and the Bestie,Wenn V. Deramas,"Vice Ganda, Coco Martin, James Reid, Nadine Lustre, Karla Estrada, Ryan Bang, Badjie Mortiz, Alonzo Muhlach, Marco Masa, Lassy Marquez, MC Calaquian",Philippines,2015,TV-14,119 min,"Action & Adventure, Comedies, International Movies",Movie,4.6
Can't Help Falling in Love,Mae Czarina Cruz,"Kathryn Bernardo, Daniel Padilla, Matteo Guidicelli, Zanjoe Marudo, Cherry Pie Picache, Lotlot De Leon, Dennis Padilla, Lito Pimentel, Joross Gamboa, Janus del Prado",Philippines,2017,TV-14,120 min,"Comedies, Dramas, International Movies",Movie,6.9
Four Sisters and a Wedding,Cathy Garcia-Molina,"Bea Alonzo, Toni Gonzaga, Angel Locsin, Shaina Magdayao, Enchong Dee, Sam Milby, Angeline Quinto, Coney Reyes",Philippines,2013,TV-14,125 min,"Comedies, Dramas, International Movies",Movie,7.2
It Takes a Man and a Woman,Cathy Garcia-Molina,"John Lloyd Cruz, Sarah Geronimo, Rowell Santiago, Al Tantay, Irma Adlawan, Joross Gamboa, Gio Alvarez, Matet De Leon, Miles Ocampo, Andre Garcia, Dante Rivero, Isabelle Daza",Philippines,2013,TV-PG,127 min,"Comedies, International Movies, Romantic Movies",Movie,6.7
My Ex & Whys,Cathy Garcia-Molina,"Liza Soberano, Enrique Gil, Joey Marquez, Cai Cortez, Arlene Muchlach, Ara Mina, Ryan Bang, Joross Gamboa, Jeffrey Tam, Neils Coleta",Philippines,2017,TV-14,121 min,"Dramas, International Movies, Romantic Movies",Movie,6.0
Rise: Ini Kalilah,"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath","Remy Ishak, Mira Filzah, Jack Tan, Sangeeta Krishnasamy, Shashi Tharan, Mark O'Dea, Jenn Chia, Sharifah Sakinah",Malaysia,2018,TV-PG,101 min,"Dramas, International Movies",Movie,5.1
She's Dating the Gangster,Cathy Garcia-Molina,"Kathryn Bernardo, Daniel Padilla, Richard Gomez, Dawn Zulueta, Sofia Andres, Khalil Ramos, Ian Veneracion, Pamu Pamorada, Igi Boy Flores, Marco Gumabao",Philippines,2014,TV-PG,113 min,"Dramas, International Movies, Romantic Movies",Movie,7.0
The Breakup Playlist,Dan Villegas,"Piolo Pascual, Sarah Geronimo, Rio Locsin, Dennis Padilla, Badjie Mortiz, Teddy Corpuz, Anna Luna, Jett Pangan, Cris Villonco, Maris Racal",Philippines,2015,TV-14,118 min,"Dramas, International Movies, Romantic Movies",Movie,6.5
The Mistress,Olivia M. Lamasan,"John Lloyd Cruz, Bea Alonzo, Hilda Koronel, Ronaldo Valdez, Anita Linda, Carmi Martin",Philippines,2012,TV-14,132 min,"Dramas, International Movies, Romantic Movies",Movie,6.3
You're My Boss,Antoinette Jadaone,"Toni Gonzaga, Coco Martin, Freddie Webb, Gloria Sevilla, Adam Chan, Noel Trinidad, Pepe Herrera, Jerald Napoles, Deniese Aguilar, Via Antonio",Philippines,2015,TV-PG,117 min,"Comedies, International Movies, Romantic Movies",Movie,6.3
Zach Galifianakis: Live at the Purple Onion,Michael Blieden,"Zach Galifianakis, Brian Unger",United States,2006,TV-MA,61 min,Stand-Up Comedy,Movie,7.2
Bert Kreischer: The Machine,Ryan Polito,Bert Kreischer,United States,2016,TV-MA,70 min,Stand-Up Comedy,Movie,7.6
Firebrand,Aruna Raje,"Usha Jadhav, Girish Kulkarni, Sachin Khedekar, Rajeshwari Sachdev, Rushad Rana, Mrunal Oak",India,2019,TV-MA,117 min,"Dramas, International Movies",Movie,5.1
Paddleton,Alex Lehmann,"Mark Duplass, Ray Romano",United States,2019,TV-MA,89 min,"Comedies, Dramas, Independent Movies",Movie,7.1
Paris Is Us,Elisabeth Vogler,"Noémie Schmidt, Grégoire Isvarine, Marie Mottet, Lou Castel, Mathias Minne, Margaux Bonin, Julia Kouakou, Alexandre Schreiber, Schemci Lauth, Theo Tagand, Clément Olivieri, Doria Achour",France,2019,TV-MA,84 min,"Dramas, Independent Movies, International Movies",Movie,4.6
The Drug King,Woo Min-ho,"Song Kang-ho, Cho Jung-seok, Bae Doona, Kim So-jin, Kim Dae-myung, Jo Woo-jin, Lee Hee-jun, Song Young-chang, Yoon Je-moon",South Korea,2018,TV-MA,139 min,"Dramas, International Movies, Thrillers",Movie,6.2
Kevin James: Sweat the Small Stuff,Paul Miller,Kevin James,United States,2001,TV-PG,42 min,Stand-Up Comedy,Movie,7.4
Ayana,Gangadhar Salimath,"Deepak Subramanya, Apoorva Soma, Ramesh Bhat, Harsha H S, Karthik A, Goutham Shashidhar, Nagshree Karkone, Moksha Kushal, Vedashree Rao",India,2017,TV-14,112 min,"Dramas, International Movies",Movie,7.1
Buddies,Marcelo Galvão,"Ariel Goldenberg, Rita Pokk, Breno Viola, Lima Duarte, Marco Luque, Daniel Torres, Monaliza Marchi, Amélia Bittencourt, Giulia de Souza Merigo, Deto Montenegro, Rui Unas",Brazil,2012,TV-MA,103 min,"Comedies, Dramas, Independent Movies",Movie,6.5
My Travel Buddy,Bedran Güzel,"Oguzhan Koç, İbrahim Büyükak, Emre Kınay, Aslı Bekiroğlu, Eda Ece, Bahar Sahin, Muharrem Bayrak, Toygan Avanoglu",Turkey,2017,TV-14,111 min,"Comedies, International Movies",Movie,6.1
Neevevaro,Hari Nath,"Aadhi, Tapsee Pannu, Ritika Singh, Vennela Kishore, Sapthagiri",India,2018,TV-14,132 min,"Dramas, International Movies, Romantic Movies",Movie,6.9
The Breaker Upperers,"Jackie van Beek, Madeleine Sami","Madeleine Sami, Jackie van Beek, James Rolleston, Celia Pacquola, Ana Scotney, Rima Te Wiata, Carl Bland, Brett O'Gorman, Cohen Holloway, Jemaine Clement",New Zealand,2018,TV-MA,82 min,"Comedies, Independent Movies, International Movies",Movie,5.9
Yucatán,Daniel Monzón,"Luis Tosar, Rodrigo de la Serna, Joan Pera, Stephanie Cayo, Gloria Muñoz, Adrián Núñez, Alicia Fernández, Jorge Asín, Agustín Jiménez, Lupe Cartié Roda, Txell Aixendri, Xavi Lite, Alejandro Vera, João Lagarto",Spain,2018,TV-MA,130 min,"Comedies, International Movies",Movie,5.5
"Ken Jeong: You Complete Me, Ho",Jon M. Chu,Ken Jeong,United States,2019,TV-MA,62 min,Stand-Up Comedy,Movie,5.7
We the Animals,Jeremiah Zagar,"Evan Rosado, Josiah Gabriel, Isaiah Kristian, Raúl Castillo, Sheila Vand, Giovanni Pacciarelli, Terry Holland, Moe Isaac, Mickey Anthony, Tom Malley",United States,2018,R,93 min,"Dramas, Independent Movies",Movie,6.9
High Flying Bird,Steven Soderbergh,"André Holland, Zazie Beetz, Bill Duke, Kyle MacLachlan, Melvin Gregg, Sonja Sohn, Zachary Quinto",United States,2019,TV-MA,91 min,"Dramas, Sports Movies",Movie,6.2
Kevin Hart's Guide to Black History,Tom Stern,"Kevin Hart, Saniyya Sidney, Lil Rel Howery, Eoghan Thomas Murphy, Tiffany Haddish, Al Shearer, Lonnie Chavis, Alphonso Mcauley, Nika Williams, Barry Brewer, Greg Germann, John Ennis, Jay Johnston",United States,2019,TV-PG,63 min,"Children & Family Movies, Comedies",Movie,5.5
ReMastered: The Two Killings of Sam Cooke,Kelly Duane de la Vega,Sam Cooke,United States,2019,TV-MA,74 min,"Documentaries, Music & Musicals",Movie,7.2
The Tree of Blood,Julio Medem,"Úrsula Corberó, Álvaro Cervantes, Najwa Nimri, Patricia López Arnaiz, Daniel Grao, Joaquín Furriel, Maria Molins, Emilio Gutiérrez Caba, Luisa Gavasa, José María Pou, Ángela Molina",Spain,2018,TV-MA,136 min,"Dramas, Independent Movies, International Movies",Movie,6.3
"Ray Romano: Right Here, Around the Corner",Michael Showalter,Ray Romano,United States,2019,TV-MA,59 min,Stand-Up Comedy,Movie,7.2
Dear Ex,"Hsu Chih-yen, Mag Hsu","Roy Chiu, Hsieh Ying-xuan, Joseph Huang, Spark Chen",Taiwan,2018,TV-MA,100 min,"Comedies, Dramas, International Movies",Movie,7.3
The Edge of Seventeen,Kelly Fremon Craig,"Hailee Steinfeld, Woody Harrelson, Kyra Sedgwick, Haley Lu Richardson, Blake Jenner, Hayden Szeto","United States, China",2016,R,105 min,"Comedies, Dramas",Movie,7.3
Velvet Buzzsaw,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Toni Collette, John Malkovich, Natalia Dyer, Daveed Diggs, Tom Sturridge",United States,2019,R,113 min,"Dramas, Thrillers",Movie,5.7
Hantu Kak Limah,Mamat Khalid,"Awie, Arab Khalid, Sharwani Ns, Tj Isa, Delimawati, Zul Ariffin, Uqasha Senrose, Ropie Cecupak",Malaysia,2018,TV-14,110 min,"Comedies, Horror Movies, International Movies",Movie,5.6
High Society,Byun Hyuk,"Park Hae-il, Su Ae, Yoon Je-moon, Ra Mi-ran, Lee Jin-wook, Kim Gyu-sun, Han Ju-yeong, Kim Hae-gon, Nam Moon-cheol, Jang So-yeon",South Korea,2018,TV-MA,137 min,"Dramas, International Movies",Movie,5.5
Nathicharami,Mansore,"Sruthi Hariharan, Sanchari Vijay, Sharanya, Balaji Manohar, Greeshma Sridhar, Harshil Koushik, Shaanthala, Gopalkrishna Deshpande",India,2018,TV-14,114 min,"Dramas, Independent Movies, International Movies",Movie,7.1
Goyo: The Boy General,Jerrold Tarog,"Paulo Avelino, Carlo Aquino, Arron Villaflor, Mon Confiado, Gwen Zamora, Jeffrey Quizon, Alvin Anson, Empress Schuck, Perla Bautista, Benjamin Alves",Philippines,2018,TV-MA,150 min,"Dramas, International Movies",Movie,6.7
Kingdom,Kim Seong-hun,"Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jeon Seok-ho, Kim Hye-jun, Heo Jun-ho, Jung Suk-won, Kim Jong-soo","South Korea, United States",2019,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure",TV Show,8.3
Innocent,Seren Yüce,"Ali Atay, Haluk Bilginer, Nur Sürer, Okan Yalabık, Tülin Özen, Serkan Keskin, Bartu Küçükçağlayan, Irem Altug, Mehmet Özgür, Merve Ates, Defne Halman, Cem Zeynel Kiliç, Esra Kizildogan",Turkey,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,8.4
Justice,Ahmed Khaled Moussa,"Fatima Al Taei, Mansoor Alfeeli, Malak Al Khalidi, Khalifa Albhri, Nivin Madi, Mohammed Alamry, Bilal Abdullah, Abdullah Almaqbali, Alaa Shaker, Abdullah Bin Haidar, Humaid Alawadi",United Arab Emirates,2018,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,4.0
IO,Jonathan Helpert,"Margaret Qualley, Anthony Mackie, Danny Huston",United States,2019,TV-14,96 min,"Dramas, Sci-Fi & Fantasy",Movie,4.7
Patria,Matías Gueilburt,Paco Ignacio Taibo II,Mexico,2019,TV-MA,90 min,"Documentaries, International Movies",Movie,7.2
Soni,Ivan Ayr,"Geetika Vidya Ohlyan, Saloni Batra, Mohinder Gujral, Mohit Chauhan, Vikas Shukla, Gauri Chakraborty, Simrat Kaur, Dimple Kaur",India,2018,TV-MA,97 min,"Dramas, Independent Movies, International Movies",Movie,7.1
